t,x,u,z1_hat,z2_hat,z3_hat
1.74500,10.38450,-5.00000,10.37893,2.12470,-2.03528
1.75000,10.39485,-5.00000,10.38944,2.06484,-2.03430
1.75500,10.40490,-5.00000,10.39965,2.00499,-2.03331
1.76000,10.41465,-5.00000,10.40956,1.94514,-2.03233
1.76500,10.42410,-5.00000,10.41916,1.88529,-2.03134
1.77000,10.43325,-5.00000,10.42847,1.82544,-2.03036
1.77500,10.44210,-5.00000,10.43748,1.76559,-2.02937
1.78000,10.45065,-5.00000,10.44619,1.70574,-2.02838
1.78500,10.45890,-5.00000,10.45459,1.64589,-2.02739
1.79000,10.46685,-5.00000,10.46270,1.58603,-2.02640
1.79500,10.47450,-5.00000,10.47051,1.52618,-2.02541
1.80000,10.48185,-5.00000,10.47802,1.46633,-2.02441
1.80500,10.48890,-5.00000,10.48522,1.40648,-2.02342
1.81000,10.49565,-5.00000,10.49213,1.34663,-2.02243
1.81500,10.50210,-5.00000,10.49874,1.28678,-2.02143
1.82000,10.50825,-5.00000,10.50505,1.22693,-2.02044
1.82500,10.51410,-5.00000,10.51105,1.16708,-2.01945
1.83000,10.51965,-5.00000,10.51676,1.10723,-2.01845
1.83500,10.52490,-5.00000,10.52217,1.04738,-2.01746
1.84000,10.52985,-5.00000,10.52728,0.98753,-2.01646
1.84500,10.53450,-5.00000,10.53208,0.92768,-2.01546
1.85000,10.53885,-5.00000,10.53659,0.86783,-2.01447
1.85500,10.54290,-5.00000,10.54080,0.80798,-2.01347
1.86000,10.54665,-5.00000,10.54471,0.74813,-2.01248
1.86500,10.55010,-5.00000,10.54831,0.68828,-2.01148
1.87000,10.55325,-5.00000,10.55162,0.62843,-2.01048
1.87500,10.55610,-5.00000,10.55463,0.56858,-2.00949
1.88000,10.55865,-5.00000,10.55734,0.50873,-2.00849
1.88500,10.56090,-5.00000,10.55974,0.44888,-2.00749
1.89000,10.56285,-5.00000,10.56185,0.38903,-2.00649
1.89500,10.56450,-5.00000,10.56366,0.32918,-2.00550
1.90000,10.56586,-4.82322,10.56517,0.27108,-2.00455
1.90500,10.56695,-4.60342,10.56640,0.21519,-2.00361
1.91000,10.56777,-4.39013,10.56735,0.16145,-2.00254
